orderId,name,price,cal,sodium,alcoholic,setOnly,counterSales
301,やみつきスパイス(20g),300,,,false,false,true
306,唐辛子フレーク容器付き(40g),500,,,false,false,true
307,ホットソース容器付き(200g),500,,,false,false,true
303,サイゼリヤドレッシング(500ml),500,,,false,false,true
304,エクストラ・バージン・オリーブオイル(500ml),850,,,false,false,true
101,冷凍辛味チキン(1.5kg),2200,,,false,false,true
107,冷凍ポップコーンシュリンプ(500g),1500,,,false,false,true
92,冷凍イタリアンプリン(1個),240,,,false,false,true
91,冷凍ティラミスクラシコ(500g),1760,,,false,false,true
SA06,チキンのシーザーサラダ,350,205,1.3,false,false,false
SA56,チキンのシーザーサラダ Lサイズ,500,308,1.9,false,false,false
SA02,小エビのサラダ,350,127,1.4,false,false,false
SA52,小エビのサラダ Lサイズ,500,191,2.2,false,false
SA04,ガーデンサラダ,350,173,0.7,false,false,false
SA54,ガーデンサラダ Lサイズ,500,259,1.1,false,false,false
TP05,オリーブアンチョビペースト,100,97,0.7,false,false,false
SA12,オリーブアンチョビのガーデンサラダ,450,151,0.9,false,false,false
SA62,オリーブアンチョビのガーデンサラダ Lサイズ,600,178,1.1,false,false,false
SU01,コーンクリームスープ,150,146,1.1,false,false,false
SU03,冷たいパンプキンスープ,150,110,0.9,false,false,false
RP08,ミニフィセル,150,189,1.0,false,false,false
RP09,ガーリックトースト,200,245,1.1,false,false,false
RP06,プチフォッカ,150,214,0.8,false,false,false
RP05,セットプチフォッカ,100,107,0.4,false,true,false
RP04,シナモンプチフォッカ,200,246,0.8,false,false,false
DB01,セットドリンクバー,200,,,false,true,false
AA13,爽やかにんじんサラダ,200,93,0.9,false,false,false
AA20,バッファローモッツァレラ,300,209,0.5,false,false,false
AA70,バッファローモッツァレラ Wサイズ,600,418,1.0,false,false,false
AA16,プロシュート,400,55,1.4,false,false,false
AA66,プロシュート Wサイズ,800,110,2.8,false,false,false
WN01,グラスワイン 赤,100,,,true,false,false
WN02,グラスワイン 白,100,,,true,false,false
WN03,デカンタ 赤(250ml),200,,,true,false,false
WN04,デカンタ 白(250ml),200,,,true,false,false
WN05,デカンタ 赤(500ml),400,,,true,false,false
WN06,デカンタ 白(500ml),400,,,true,false,false
WN07,マグナム 赤(1500ml),1100,,,true,false,false
WN08,マグナム 白(1500ml),1100,,,true,false,false
WN12,ランブルスコ ロゼ・甘口,1100,,,true,false,false
WN13,ドンラファエロ 白・辛口,1100,,,true,false,false
WN14,ランブルスコセッコ 赤・辛口,1100,,,true,false,false
WN15,ベルデッキオ 辛口・中,1100,,,true,false,false
WN16,キャンティ 辛口・やや重い,1100,,,true,false,false
WN19,キャンティルフィナリゼルバ 辛口・重い,2200,,,true,false,false
BR05,ラコンブリッコラ(45ml),300,,,true,false,false
